lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url,whatsapp_verified,whatsapp_jid
6,No website | No reviews,Despacho Jurídico Contables Flores Bilchis y Asociados,Lawyer," Ballena 39, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX",55 5260 3677,+525552603677,True,https://wa.me/525552603677,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Jur%C3%ADdico+Contables+Flores+Bilchis+y+Asociados/data=!4m7!3m6!1s0x85d1f8b188ade9b3:0xbf85045b36233e03!8m2!3d19.4374159!4d-99.176971!16s%2Fg%2F1vtzhk8p!19sChIJs-mtiLH40YURAz4jNlsEhb8,no,
6,No website | No reviews,"Despacho Contable Fiscal HERFLO CONTADORES,S.C",Certified public accountant," Av. Pdte. Masaryk 111, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",55 5583 1106,+525555831106,True,https://wa.me/525555831106,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,"https://www.google.com/maps/place/Despacho+Contable+Fiscal+HERFLO+CONTADORES,S.C/data=!4m7!3m6!1s0x85d1f9d558b1b04b:0xbe43fd9c95920353!8m2!3d19.4319472!4d-99.1860116!16s%2Fg%2F11gmwb_wk7!19sChIJS7CxWNX50YURUwOSlZz9Q74",no,
6,No website | No reviews,Despacho Contable Gaytán y Asociados.,Accountant," Bradley 57, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX",55 8806 2339,+525588062339,True,https://wa.me/525588062339,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Gayt%C3%A1n+y+Asociados./data=!4m7!3m6!1s0x85d1ffb6427cd975:0xa6a6580fd96a90b6!8m2!3d19.431741!4d-99.1786364!16s%2Fg%2F11qnq0cbk8!19sChIJddl8Qrb_0YURtpBq2Q9YpqY,yes,5215588062339@s.whatsapp.net
6,No website | No reviews,DESPACHO CONTABLE Y FISCAL,Corporate office," Mar Adriático 20, Popotla, Miguel Hidalgo, 11400 Ciudad de México, CDMX",55 2955 1858,+525529551858,True,https://wa.me/525529551858,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/DESPACHO+CONTABLE+Y+FISCAL/data=!4m7!3m6!1s0x85d1f9728c1dc5b9:0x6dcc160ba9a559b0!8m2!3d19.452805!4d-99.1837119!16s%2Fg%2F11gxmv20sv!19sChIJucUdjHL50YURsFmlqQsWzG0,yes,5215529551858@s.whatsapp.net
6,No website | No reviews,Despacho Contable Grupo Ferbea,Certified public accountant," Av. P.º de la Reforma 403 - 1204, Cuauhtémoc, 06500 Ciudad de México, CDMX",55 1822 8302,+525518228302,True,https://wa.me/525518228302,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Grupo+Ferbea/data=!4m7!3m6!1s0x85d1ff4bd09712ed:0xa9b7158bd1c50d1b!8m2!3d19.4260056!4d-99.1711057!16s%2Fg%2F11cs607f4v!19sChIJ7RKX0Ev_0YURGw3F0YsVt6k,yes,5215518228302@s.whatsapp.net
6,No website | No reviews,Despacho Contable Benítez de la Rosa.,Bookkeeping service," C. Nogal 94-oficina 106, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX",55 6272 9447,+525562729447,True,https://wa.me/525562729447,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Ben%C3%ADtez+de+la+Rosa./data=!4m7!3m6!1s0x85d1f9e4593e0b97:0x56c69c90e4486cdd!8m2!3d19.4470366!4d-99.1642645!16s%2Fg%2F11gl0v2vf1!19sChIJlws-WeT50YUR3WxI5JCcxlY,no,
6,No website | No reviews,Abitat Constructora,Construction company," Lago Alberto 369, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX",55 9688 8034,+525596888034,True,https://wa.me/525596888034,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Abitat+Constructora/data=!4m7!3m6!1s0x85d1f8ae4341d4c5:0x9a3acc39a99a80c!8m2!3d19.4386937!4d-99.1808105!16s%2Fg%2F11c25r7gkg!19sChIJxdRBQ6740YURDKiZmsOsowk,no,
6,No website | No reviews,Casa Constructora,Construction company," Lago Ammer No. 129, Pensil Nte., Miguel Hidalgo, 11430 Ciudad de México, CDMX",55 3512 7926,+525535127926,True,https://wa.me/525535127926,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Casa+Constructora/data=!4m7!3m6!1s0x85d202095a73ad65:0xa373f87e08659b2!8m2!3d19.447479!4d-99.194724!16s%2Fg%2F11flrpg8bd!19sChIJZa1zWgkC0oURslmG4Ic_Nwo,yes,5215535127926@s.whatsapp.net
6,No website | No reviews,Cobague Construcciones,Construction company," Calz. Gral. Mariano Escobedo 375, Polanco, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX",55 7307 5697,+525573075697,True,https://wa.me/525573075697,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Cobague+Construcciones/data=!4m7!3m6!1s0x85d1f8ac15a3e213:0x10c849fb2daef331!8m2!3d19.4355253!4d-99.1830877!16s%2Fg%2F11flrpg_sn!19sChIJE-KjFaz40YURMfOuLftJyBA,yes,5215573075697@s.whatsapp.net
6,No website | No reviews,Condominio Sol del sureste,Condominium rental agency," C. 19 64, 77524 Cancún, Q.R.",998 291 3916,+529982913916,True,https://wa.me/529982913916,open,,,False,None,None,administracion de condominios,Cancun Mexico,2026-06-11,https://www.google.com/maps/place/Condominio+Sol+del+sureste/data=!4m7!3m6!1s0x8f4c2d69d36d40f5:0x9ca04e23a7e802b4!8m2!3d21.1748198!4d-86.8222101!16s%2Fg%2F11h5drz1tv!19sChIJ9UBt02ktTI8RtALopyNOoJw,yes,5219982913916@s.whatsapp.net
6,No website | No reviews,Sky Cancun Residences,Condominium complex," Av. Bonampak 8-01, Puerto Juarez, Zona Hotelera, 77500 Cancún, Q.R.",998 688 0574,+529986880574,True,https://wa.me/529986880574,open,,,False,None,None,administracion de condominios,Cancun Mexico,2026-06-11,https://www.google.com/maps/place/Sky+Cancun+Residences/data=!4m7!3m6!1s0x8f4c2ea88a66f037:0x2f8b63ff701059e8!8m2!3d21.1718937!4d-86.8198211!16s%2Fg%2F1tp0fqqd!19sChIJN_BmiqguTI8R6FkQcP9jiy8,no,
