tier,lead_score,lead_reasons,name,category,cat_fit,address,phone,phone_e164,phone_valid,whatsapp,wa_listed,business_status,has_hours,last_review,review_age_days,photos,website,has_website,formal_name,rating,reviews,search_query,search_location,scraped_date,maps_url
A,12,Sitio web (formal) | Razón social formal | Horario publicado | 39 reseñas | Rating 5.0 | Activo (<90d),Despacho Migratorio Cancún Barón,Immigration attorney,True," LAS CALLES, Av. Tulúm Supermanzana 11 Manzana 2 Lote 3, 77504 Cancún, Q.R.",998 501 0618,+529985010618,True,https://wa.me/529985010618,False,open,True,3 months ago,90,,http://www.despachomigratoriocancun.com/,True,True,5.0,39,despacho de abogados,Cancun Mexico,2026-06-20,https://www.google.com/maps/place/Despacho+Migratorio+Canc%C3%BAn+Bar%C3%B3n/data=!4m7!3m6!1s0x8f4c2b006adfe951:0x5712c4af2c897bec!8m2!3d21.1433333!4d-86.8251185!16s%2Fg%2F11mdvmv04d!19sChIJUenfagArTI8R7HuJLK_EElc
A,12,Sitio web (formal) | Horario publicado | 624 reseñas (operación seria) | Rating 4.8 | WhatsApp en Maps,Abogados Especializados Querétaro®,Family law attorney,True," Ejército Republicano 121-Primer Piso, Interior E, Carretas, 76050 Santiago de Querétaro, Qro.",442 213 3322,+524422133322,True,https://wa.me/524422133322,True,open,True,Edited 7 years ago,2555,,https://abogadosenqueretaro.mx/,True,False,4.8,624,despacho de abogados,Queretaro Mexico,2026-06-20,https://www.google.com/maps/place/Abogados+Especializados+Quer%C3%A9taro%C2%AE/data=!4m7!3m6!1s0x85d199cacc8871f3:0x9f7d79b04a902744!8m2!3d20.5900281!4d-100.3751327!16s%2Fg%2F12hlrrwlm!19sChIJ83GIzMqZ0YURRCeQSrB5fZ8
A,12,Sitio web (formal) | Razón social formal | Horario publicado | 57 reseñas (operación seria) | Rating 4.9 | Activo (<1 año),Bufete Cervantes Abogados,Divorce lawyer,True," Av. Parque Chapultepec 1922, Lomas de Chapultepec, 78295 San Luis Potosí, S.L.P.",444 715 1616,+524447151616,True,https://wa.me/524447151616,False,open,True,6 months ago,180,,https://www.cervantesbufete.com/,True,True,4.9,57,despacho de abogados,San Luis Potosi Mexico,2026-06-20,https://www.google.com/maps/place/Bufete+Cervantes+Abogados/data=!4m7!3m6!1s0x842a9956df9f5d1d:0x620513b3cf103c6d!8m2!3d22.1156257!4d-101.017644!16s%2Fg%2F11h7h1kny4!19sChIJHV2f31aZKoQRbTwQz7MTBWI
A,11,Sitio web (formal) | Razón social formal | Horario publicado | 28 reseñas | Rating 5.0 | Activo (<1 año),Abogados | Despacho Juridico Familiar,Family law attorney,True," Bosques de Oyamel 99-local C, Col. Bosques del Sol, 76113 Santiago de Querétaro, Qro.",442 225 1616,+524422251616,True,https://wa.me/524422251616,False,open,True,6 months ago,180,,https://www.facebook.com/AbogadoFamiliarQueretaro,True,True,5.0,28,despacho de abogados,Queretaro Mexico,2026-06-20,https://www.google.com/maps/place/Abogados+%7C+Despacho+Juridico+Familiar/data=!4m7!3m6!1s0x85d351460cb99939:0xae5984176aa4f020!8m2!3d20.6153477!4d-100.4413133!16s%2Fg%2F11tfmv3wy1!19sChIJOZm5DEZR04URIPCkaheEWa4
A,11,Sitio web (formal) | Razón social formal | Horario publicado | 5 reseñas | Rating 5.0 | Activo (<90d),"DESPACHO JURIDICO Y PERICIAL DE NOVA ""ABOGADOS""",Trial attorney,True," Laguna Madre, Laguna de Montebello 402, Nueva Oxtotitlán, 50100 Toluca de Lerdo, Méx.",722 323 6364,+527223236364,True,https://wa.me/527223236364,False,open,True,2 months ago,60,,https://www.facebook.com/profile.php?id=61584807870711,True,True,5.0,5,despacho de abogados,Toluca Mexico,2026-06-20,https://www.google.com/maps/place/DESPACHO+JURIDICO+Y+PERICIAL+DE+NOVA+%22ABOGADOS%22/data=!4m7!3m6!1s0x85cd89a3229212c1:0x9c0f69538ba29656!8m2!3d19.2789831!4d-99.6858383!16s%2Fg%2F11ys3647cx!19sChIJwRKSIqOJzYURVpaii1NpD5w
A,11,Sitio web (formal) | Horario publicado | 147 reseñas (operación seria) | Rating 4.9 | Activo (<90d),Jurídico Familiar - Balderas,Divorce lawyer,True," Blvr. Mariano Escobedo Pte. 1804, entre chopin y Mozart, León Moderno, 37480 León de los Aldama, Gto.",477 202 7014,+524772027014,True,https://wa.me/524772027014,False,open,True,a month ago,30,,https://www.facebook.com/abogadojosue.balderas,True,False,4.9,147,despacho de abogados,Leon Mexico,2026-06-20,https://www.google.com/maps/place/Jur%C3%ADdico+Familiar+-+Balderas/data=!4m7!3m6!1s0x842bbf77d9f1bcd5:0xbdf669486fbd42ad!8m2!3d21.1095823!4d-101.6686975!16s%2Fg%2F11b6_hbkqt!19sChIJ1bzx2Xe_K4QRrUK9b0hp9r0
A,11,Sitio web (formal) | Horario publicado | 132 reseñas (operación seria) | Rating 5.0 | Activo (<90d),DR. PABLO ABDIAS PEDROZA Abogado Especializado en Derecho Penal y Derechos Humanos,Criminal justice attorney,True," Plaza Kristal, Torre A, Pent House 4, Int. 1 Col, San Luís, 20250 Aguascalientes, Ags.",449 510 2940,+524495102940,True,https://wa.me/524495102940,False,open,True,3 weeks ago,21,,https://abdiaspedroza.com/,True,False,5.0,132,despacho de abogados,Aguascalientes Mexico,2026-06-20,https://www.google.com/maps/place/DR.+PABLO+ABDIAS+PEDROZA+Abogado+Especializado+en+Derecho+Penal+y+Derechos+Humanos/data=!4m7!3m6!1s0x8429ee73950d4a29:0x2a3f93449f7a5d61!8m2!3d21.8784396!4d-102.2809439!16s%2Fg%2F11bzypy981!19sChIJKUoNlXPuKYQRYV16n0STPyo
A,10,Sitio web (formal) | Horario publicado | 22 reseñas | Rating 5.0 | Activo (<90d),Abogado Cancún - Ricardo Loria,Family law attorney,True," Calle Av Chilam Balam Supermanzana 51 Manzana 19 Lote 26, Montecarlo, OFICINA 6, 77533 Cancún, Q.R.",998 522 3748,+529985223748,True,https://wa.me/529985223748,False,open,True,3 weeks ago,21,,https://abogadocancunricardoloria.com.mx/,True,False,5.0,22,despacho de abogados,Cancun Mexico,2026-06-20,https://www.google.com/maps/place/Abogado+Canc%C3%BAn+-+Ricardo+Loria/data=!4m7!3m6!1s0x8f4c2bf363365463:0xde8936c24b729c4!8m2!3d21.1407102!4d-86.8507347!16s%2Fg%2F11z0wzc_lx!19sChIJY1Q2Y_MrTI8RxCm3JGyT6A0
A,10,Sitio web (formal) | Horario publicado | 20 reseñas | Rating 5.0 | Activo (<90d),Consultores & Estrategas Jurídicos SLP,Criminal justice attorney,True," San Luis 100-piso 2, colonia centro, 78000 San Luis Potosí, S.L.P.",444 544 1100,+524445441100,True,https://wa.me/524445441100,False,open,True,3 months ago,90,,https://www.abogadoscej.com/,True,False,5.0,20,despacho de abogados,San Luis Potosi Mexico,2026-06-20,https://www.google.com/maps/place/Consultores+%26+Estrategas+Jur%C3%ADdicos+SLP/data=!4m7!3m6!1s0x842a9f8c0b5fcbdb:0x1322f1c6ca151381!8m2!3d22.155564!4d-100.9807776!16s%2Fg%2F11k4rrrv5d!19sChIJ28tfC4yfKoQRgRMVysbxIhM
A,10,Sitio web (formal) | Razón social formal | Horario publicado | 11 reseñas | Rating 5.0 | Activo (<1 año),PÉREZ SALAS & ASOCIADOS,Family law attorney,True," Lava 206, Jardines del Moral, 37170 León de los Aldama, Gto.",442 206 7847,+524422067847,True,https://wa.me/524422067847,False,open,True,4 months ago,120,,https://www.facebook.com/perezsalasyasociados/,True,True,5.0,11,despacho de abogados,Leon Mexico,2026-06-20,https://www.google.com/maps/place/P%C3%89REZ+SALAS+%26+ASOCIADOS/data=!4m7!3m6!1s0x85d3508433c03009:0x9baac7acabc26758!8m2!3d21.146158!4d-101.694264!16s%2Fg%2F11hyjmt355!19sChIJCTDAM4RQ04URWGfCq6zHqps
