tier,lead_score,lead_reasons,name,category,cat_fit,address,phone,phone_e164,phone_valid,whatsapp,wa_listed,business_status,has_hours,last_review,review_age_days,photos,website,has_website,formal_name,rating,reviews,search_query,search_location,scraped_date,maps_url
A,9,Sitio web (formal) | Horario publicado | 81 reseñas (operación seria) | Activo (<90d),Consorcio Juridico De Cobranza,Debt collecting,," Andalucía 245 y 254 col, Andalucía 245, Álamos, Benito Juárez, 03400 Ciudad de México, CDMX",55 5698 0500,+525556980500,True,https://wa.me/525556980500,False,open,True,2 months ago,60,,https://consorcio-juridico.mx/,True,False,2.9,81,agencia de cobranza,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Consorcio+Juridico+De+Cobranza/data=!4m7!3m6!1s0x85d1ff0dea656d23:0x264d4ef45927fcf8!8m2!3d19.394116!4d-99.1426813!16s%2Fg%2F1tkbyknq!19sChIJI21l6g3_0YUR-PwnWfROTSY
C,9,Sitio web (formal) | Horario publicado | 64 reseñas (operación seria) | Rating 4.3 | Activo (<1 año),Colektia Mexico,Debt collecting,," Av. Insurgentes Sur 664-Piso 6, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX",,,False,,False,open,True,a year ago,365,,https://colektia.com/,True,False,4.3,64,agencia de cobranza,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Colektia+Mexico/data=!4m7!3m6!1s0x85d1f8ae41baaaab:0xfb734a336c04db05!8m2!3d19.3950545!4d-99.1716973!16s%2Fg%2F11j8w3_tpg!19sChIJq6q6Qa740YURBdsEbDNKc_s
A,8,Sitio web (formal) | Horario publicado | Rating 4.7 | WhatsApp en Maps,Importashop,Import export company,," C. Washington 1410, Centro, 64000 Monterrey, N.L.",81 5102 5391,+528151025391,True,https://wa.me/5218116332193,True,open,True,,,,http://importashop.mx/,True,False,4.7,,agencia aduanal,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Importashop/data=!4m7!3m6!1s0x866295f480e0fdb7:0x609430b3e580ce53!8m2!3d25.6757252!4d-100.3272519!16s%2Fg%2F11f_4rv958!19sChIJt_3ggPSVYoYRU86A5bMwlGA
A,8,Sitio web (formal) | Horario publicado | Rating 4.9 | WhatsApp en Maps,WeSupply Importaciones y Logística,Import export company,," Av. de los Arcos 887, Prados del Bosque, 44620 Guadalajara, Jal.",33 4924 4675,+523349244675,True,https://api.whatsapp.com/send?phone=%3C+523321529318%3E,True,open,True,,,,http://wesupply.mx/,True,False,4.9,,importadora,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/WeSupply+Importaciones+y+Log%C3%ADstica/data=!4m7!3m6!1s0x8428af00317c8b09:0xffda752adb30473d!8m2!3d20.6633358!4d-103.383909!16s%2Fg%2F11pqj29nyz!19sChIJCYt8MQCvKIQRPUcw2yp12v8
A,8,Sitio web (formal) | Horario publicado | Rating 5.0 | WhatsApp en Maps,Agencia de Marketing Digital y SEO Local en CDMX | Social Mx | Agencia de Publicidad Google,Marketing agency,," Depto 501, Avenida Ricardo Flores Magón 25 Edificio ISSSTE 14, Av. Ricardo Flores Magón 25-Entrada 1, Cuauhtémoc, 06900 Ciudad de México, CDMX",56 1065 6859,+525610656859,True,https://wa.me/+525610656859,True,open,True,,,,https://www.agenciademarketingdigitalcdmx.com/,True,False,5.0,,agencia de marketing,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Agencia+de+Marketing+Digital+y+SEO+Local+en+CDMX+%7C+Social+Mx+%7C+Agencia+de+Publicidad+Google/data=!4m7!3m6!1s0x85d1f9ceda7456e1:0x2f87f8b49bbbd5b7!8m2!3d19.4511678!4d-99.140233!16s%2Fg%2F11mt92rvpn!19sChIJ4VZ02s750YURt9W7m7T4hy8
A,8,Sitio web (formal) | Horario publicado | Rating 4.7 | WhatsApp en Maps,GMB START | Agencia Marketing Digital en CDMX,Marketing agency,," Torre Latinoamericana, Eje Central Lázaro Cárdenas, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",656 374 0300,+526563740300,True,https://api.whatsapp.com/send?phone=526563740300&text=Hola!%20Quiero%20hablar%20con%20un%20agente%20de%20GMB%20START.,True,open,True,,,,https://gmbstart.com/agencia-marketing-digital-en-cdmx,True,False,4.7,,agencia de marketing,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/GMB+START+%7C+Agencia+Marketing+Digital+en+CDMX/data=!4m7!3m6!1s0x85d1f9f042cd3065:0xc936b6c06a5b7f9e!8m2!3d19.4338105!4d-99.1403722!16s%2Fg%2F11s4tgkp38!19sChIJZTDNQvD50YURnn9basC2Nsk
A,8,Sitio web (formal) | Horario publicado | Rating 4.5 | WhatsApp en Maps,Agencia de Marketing Digital en Guadalajara | GMB START,Marketing agency,," Av. Empresarios 255, Puerta de Hierro, 45116 Zapopan, Jal.",656 374 0300,+526563740300,True,https://api.whatsapp.com/send?phone=526563740300&text=Hola!%20Quiero%20hablar%20con%20un%20agente%20de%20GMB%20START.,True,open,True,,,,https://gmbstart.com/agencia-marketing-digital-en-guadalajara,True,False,4.5,,agencia de marketing,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Agencia+de+Marketing+Digital+en+Guadalajara+%7C+GMB+START/data=!4m7!3m6!1s0x8428afae4618a53f:0xa90aa7b44d18ec8b!8m2!3d20.7094174!4d-103.4157285!16s%2Fg%2F11b5yt5146!19sChIJP6UYRq6vKIQRi-wYTbSnCqk
A,8,Sitio web (formal) | Horario publicado | Rating 5.0 | WhatsApp en Maps,Endipante Agencia de Marketing en Guadalajara,Advertising agency,," Canal 474, San Rafael, 44810 Guadalajara, Jal.",33 1296 1397,+523312961397,True,https://wa.me/523312961397,True,open,True,,,,https://www.endipante.com/,True,False,5.0,,agencia de marketing,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Endipante+Agencia+de+Marketing+en+Guadalajara/data=!4m7!3m6!1s0x8428afd71385b6c3:0xeed2f8515dd5109b!8m2!3d20.6518989!4d-103.2940665!16s%2Fg%2F11gr4b3klm!19sChIJw7aFE9evKIQRmxDVXVH40u4
A,8,Sitio web (formal) | Razón social formal | Horario publicado | Solo 2 reseñas | Rating 5.0,Grupo Simex,Trial attorney,," C. Justo Sierra 2593-160, Arcos Vallarta, 44600 Guadalajara, Jal.",33 3630 5689,+523336305689,True,https://wa.me/523336305689,False,open,True,2 years ago,730,,http://www.gruposimex.com/,True,True,5.0,2,agencia de cobranza,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Grupo+Simex/data=!4m7!3m6!1s0x8428ae6cd6fdb861:0xd64ccfb1e870cbc8!8m2!3d20.6774831!4d-103.3824697!16s%2Fg%2F11cmsnt6cj!19sChIJYbj91myuKIQRyMtw6LHPTNY
A,8,Sitio web (formal) | Horario publicado | Rating 4.8 | WhatsApp en Maps,IMPORTACION DE AUTOS Go Import,Car dealer,," Av. Ermita Sur 5151, Leos Montoya, 22106 Tijuana, B.C.",664 681 2444,+526646812444,True,https://wa.me/526646812444,True,open,True,,,,https://wa.me/526646812444,True,False,4.8,,importadora,Tijuana Mexico,2026-06-20,https://www.google.com/maps/place/IMPORTACION+DE+AUTOS+Go+Import/data=!4m7!3m6!1s0x80d93806a5639869:0x93c0dc9d84b91e75!8m2!3d32.501175!4d-116.9786297!16s%2Fg%2F1tcx1tcy!19sChIJaZhjpQY42YARdR65hJ3cwJM
