lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
6,No website | No reviews,"CONSYRSA, S.A. DE C.V.",Construction company," Thomas Alva Edison 425, Centro, 64000 Monterrey, N.L.",81 8344 4876,+528183444876,True,https://wa.me/528183444876,open,,,False,,,constructora,Monterrey Mexico,2026-06-12,"https://www.google.com/maps/place/CONSYRSA,+S.A.+DE+C.V./data=!4m7!3m6!1s0x866295f16e6bbfdb:0xd7d062d704d4883e!8m2!3d25.681261!4d-100.3338131!16s%2Fg%2F12jsftlv2!19sChIJ279rbvGVYoYRPojUBNdi0Nc"
6,No website | No reviews,CFV,Construction company," Priv. Independencia 3229, Moderna, 64530 Monterrey, N.L.",81 1351 9578,+528113519578,True,https://wa.me/528113519578,open,,,False,,,constructora,Monterrey Mexico,2026-06-12,https://www.google.com/maps/place/CFV/data=!4m7!3m6!1s0x8662954074f2271b:0xc2135ff5168f5aea!8m2!3d25.7005648!4d-100.2809071!16s%2Fg%2F11b7jg_xy3!19sChIJGyfydECVYoYR6lqPFvVfE8I
6,No website | No reviews,Obras y Construcciones G1 SA de CV,Construction company," C. Mariano Matamoros 1103B, Centro, 64000 Monterrey, N.L.",81 2558 1608,+528125581608,True,https://wa.me/528125581608,open,,,False,,,constructora,Monterrey Mexico,2026-06-12,https://www.google.com/maps/place/Obras+y+Construcciones+G1+SA+de+CV/data=!4m7!3m6!1s0x8662be1e1424989f:0xe6a97db7b5c7d969!8m2!3d25.672655!4d-100.3317943!16s%2Fg%2F11h6r_g_t3!19sChIJn5gkFB6-YoYRadnHtbd9qeY
6,No website | No reviews,ARICIMO CONSTRUCTORA,Construction company," C. Jalpan 1109, Reforma, 72160 Heroica Puebla de Zaragoza, Pue.",222 569 0062,+522225690062,True,https://wa.me/522225690062,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/ARICIMO+CONSTRUCTORA/data=!4m7!3m6!1s0x85cfc6d98f888ed5:0x28f3b34124abb8b3!8m2!3d19.0570658!4d-98.2342185!16s%2Fg%2F1ptw09nsr!19sChIJ1Y6Ij9nGz4URs7irJEGz8yg
6,No website | No reviews,Konstructora,Construction company," EDIFICIO TORRE JV3, LATERAL, Atlixcáyotl 5210, Heroica Puebla de Zaragoza, Pue.",222 247 6968,+522222476968,True,https://wa.me/522222476968,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Konstructora/data=!4m7!3m6!1s0x85cfc78204373e6d:0xe9c280bb643ed6b1!8m2!3d19.0094677!4d-98.2654691!16s%2Fg%2F11hyjmtdjw!19sChIJbT43BILHz4URsdY-ZLuAwuk
6,No website | No reviews,Constructora FRISO DC,Construction company," C. Tepeaca Núm. 56, La Paz, 72160 Heroica Puebla de Zaragoza, Pue.",222 493 9279,+522224939279,True,https://wa.me/522224939279,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Constructora+FRISO+DC/data=!4m7!3m6!1s0x85cfc0be30ce17d7:0x527b644b06dea9e1!8m2!3d19.0575512!4d-98.2299776!16s%2Fg%2F11cs3f_743!19sChIJ1xfOML7Az4UR4aneBktke1I
6,No website | No reviews,CORE 8 Constructora Puebla,Construction company," Francisco Villa 88, Concepción Guadalupe, 72833 Heroica Puebla de Zaragoza, Pue.",221 365 9048,+522213659048,True,https://wa.me/522213659048,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/CORE+8+Constructora+Puebla/data=!4m7!3m6!1s0x85cfc7df4f157b5b:0xecb4dbd0e9b493b6!8m2!3d19.0269776!4d-98.226798!16s%2Fg%2F11yydyjmfp!19sChIJW3sVT9_Hz4URtpO06dDbtOw
6,No website | No reviews,Constructora IPYCSA | Constructora en Puebla,Construction company," Av. 43 Ote. 28-Interior 103, Huexotitla, 72534 Heroica Puebla de Zaragoza, Pue.",222 271 8074,+522222718074,True,https://wa.me/522222718074,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Constructora+IPYCSA+%7C+Constructora+en+Puebla/data=!4m7!3m6!1s0x85cfc0b8ee1b0073:0x52e6515de25f1040!8m2!3d19.0273588!4d-98.2069131!16s%2Fg%2F11dfjwzrtt!19sChIJcwAb7rjAz4URQBBf4l1R5lI
6,No website | No reviews,CONSTRUCTORA GEA DE IDEAS,Construction company," Av 17 Pte 1707, Rivera de Santiago, 72410 Heroica Puebla de Zaragoza, Pue.",222 455 3847,+522224553847,True,https://wa.me/522224553847,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/CONSTRUCTORA+GEA+DE+IDEAS/data=!4m7!3m6!1s0x85cfc0d11347846d:0x94da14cc6015c9b9!8m2!3d19.044505!4d-98.21439!16s%2Fg%2F1tgwn0nz!19sChIJbYRHE9HAz4URuckVYMwU2pQ
6,No website | No reviews,Construccion y Remodelacion PUEBLA. PUE,Building firm," Jose Rodriguez de, R de Alconedo 83, Francisco Javier Clavijero, 72390 Heroica Puebla de Zaragoza, Pue.",221 435 2919,+522214352919,True,https://wa.me/522214352919,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Construccion+y+Remodelacion+PUEBLA.+PUE/data=!4m7!3m6!1s0x85cfc1ad6a134975:0xb4367fe9a3c5e0d!8m2!3d19.0265668!4d-98.1419854!16s%2Fg%2F11j5_5czb6!19sChIJdUkTaq3Bz4URDV48mv5nQws
6,No website | No reviews,Valuaciones Proyectos Y Construcciones Sa De Cv,Construction company," Av 15 Pte 2303, Águila, 72410 Heroica Puebla de Zaragoza, Pue.",,,False,,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Valuaciones+Proyectos+Y+Construcciones+Sa+De+Cv/data=!4m7!3m6!1s0x85cfc0d461e949a9:0xfdbd3b4b39e5c530!8m2!3d19.0476194!4d-98.2185363!16s%2Fg%2F1tfzs7rg!19sChIJqUnpYdTAz4URMMXlOUs7vf0
6,No website | No reviews,Tierra Nueva Construcciones,Home builder," Col., C. 6 Sur 10901, Arboledas de Loma Bella, 72490 Heroica Puebla de Zaragoza, Pue.",222 219 3045,+522222193045,True,https://wa.me/522222193045,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/Tierra+Nueva+Construcciones/data=!4m7!3m6!1s0x85cfb8b447475f65:0xb1e23fb9788bfc79!8m2!3d18.9852356!4d-98.225405!16s%2Fg%2F11cn15ss5p!19sChIJZV9HR7S4z4URefyLeLk_4rE
6,No website | No reviews,ALHEMOS,Construction company," C. Perote 8, Belisario Domínguez, 72180 Heroica Puebla de Zaragoza, Pue.",222 482 0631,+522224820631,True,https://wa.me/522224820631,open,,,False,,,constructora,Puebla Mexico,2026-06-12,https://www.google.com/maps/place/ALHEMOS/data=!4m7!3m6!1s0x85cfc6d99de03023:0xa5b88bc5683cfce0!8m2!3d19.0563374!4d-98.2347927!16s%2Fg%2F1tczqpxn!19sChIJIzDgndnGz4UR4Pw8aMWLuKU
6,No website | No reviews,Constructora Cifsa S.A. de C.V.,Construction company," Blvd. San Pedro 207, San Isidro, 37510 León de los Aldama, Gto.",477 772 5999,+524777725999,True,https://wa.me/524777725999,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Constructora+Cifsa+S.A.+de+C.V./data=!4m7!3m6!1s0x842bbe44268ad24b:0x8b7f85012733c916!8m2!3d21.1037884!4d-101.6456036!16s%2Fg%2F1tdkbd65!19sChIJS9KKJkS-K4QRFskzJwGFf4s
6,No website | No reviews,León Constructora,Construction company," Av. Ruiz 1023 E, Zona Centro, 22800 Ensenada, B.C.",646 178 7673,+526461787673,True,https://wa.me/526461787673,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Le%C3%B3n+Constructora/data=!4m7!3m6!1s0x80d8928f4e58ae0f:0x45b1b7c64d587f09!8m2!3d31.8732623!4d-116.623022!16s%2Fg%2F1tkbyhqz!19sChIJD65YTo-S2IARCX9YTca3sUU
6,No website | No reviews,"RS CONSTRUCCIONES DE LEON, S.A. DE C.V.",Construction company," Blvrd Vicente Valtierra 2232, La Carmona, 37250 León de los Aldama, Gto.",477 914 2601,+524779142601,True,https://wa.me/524779142601,open,,,False,,,constructora,Leon Mexico,2026-06-12,"https://www.google.com/maps/place/RS+CONSTRUCCIONES+DE+LEON,+S.A.+DE+C.V./data=!4m7!3m6!1s0x842bbf3c1524aac9:0x7ac6221079f2c684!8m2!3d21.1309976!4d-101.6614363!16s%2Fg%2F11tj2nvx_f!19sChIJyaokFTy_K4QRhMbyeRAixno"
6,No website | No reviews,Lozas y Construcciones de Leon,Construction company," C. Yacimiento de Arcilla 104, Colina Real, 37353 León de los Aldama, Gto.",477 752 5776,+524777525776,True,https://wa.me/524777525776,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Lozas+y+Construcciones+de+Leon/data=!4m7!3m6!1s0x842bc09420717f1d:0xd34606472584d42!8m2!3d21.1329141!4d-101.7243743!16s%2Fg%2F11c564z5lz!19sChIJHX9xIJTAK4QRQk1YcmRgNA0
6,No website | No reviews,NORTAG,Construction company," Paseo, De las Liebres 726, San Isidro, 37530 León de los Aldama, Gto.",477 390 5074,+524773905074,True,https://wa.me/524773905074,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/NORTAG/data=!4m7!3m6!1s0x842bbe3f36f6d42f:0xb9581bb643eee9a4!8m2!3d21.0943691!4d-101.6437473!16s%2Fg%2F11c3182f5j!19sChIJL9T2Nj--K4QRpOnuQ7YbWLk
6,No website | No reviews,Construccion Supervicion Y Avaluos De Leon Sa De Cv,Construction company," Blvd. Paseo de Jerez 215, Jardines de Jerez, 37000 León de los Aldama, Gto.",477 711 1015,+524777111015,True,https://wa.me/524777111015,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Construccion+Supervicion+Y+Avaluos+De+Leon+Sa+De+Cv/data=!4m7!3m6!1s0x842bbe418e7e7a51:0x1c5139684ef39ce4!8m2!3d21.1022756!4d-101.6401187!16s%2Fg%2F1thpx4mc!19sChIJUXp-jkG-K4QR5JzzTmg5URw
6,No website | No reviews,Constructora y Arrendadora Arcas S.A. de C.V.,Construction company," Av. Sion 314A, Villa de Las Flores, Villa de las Flores, 37278 León de los Aldama, Gto.",,,False,,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Constructora+y+Arrendadora+Arcas+S.A.+de+C.V./data=!4m7!3m6!1s0x842bbefb6be83727:0x34fc9166be1c85a6!8m2!3d21.1230357!4d-101.6525077!16s%2Fg%2F1tkbyjy5!19sChIJJzfoa_u-K4QRpoUcvmaR_DQ
6,No website | No reviews,IC Construcciones,Construction company," Puerto de Barcelona 623 A, Loma Bonita, 37420 León de los Aldama, Gto.",477 717 0091,+524777170091,True,https://wa.me/524777170091,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/IC+Construcciones/data=!4m7!3m6!1s0x842bbf10b1c399a5:0x5c8f4deb1e6d803d!8m2!3d21.1173169!4d-101.6964503!16s%2Fg%2F11f61db8b9!19sChIJpZnDsRC_K4QRPYBtHutNj1w
6,No website | No reviews,Constructora Álvarado Drurán,Construction company," C. Progreso 131, Centro, 37000 León de los Aldama, Gto.",477 713 0056,+524777130056,True,https://wa.me/524777130056,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Constructora+%C3%81lvarado+Drur%C3%A1n/data=!4m7!3m6!1s0x842bbf07d5a0c0a5:0x915388d633fbc860!8m2!3d21.120226!4d-101.6727867!16s%2Fg%2F1tq6kd8p!19sChIJpcCg1Qe_K4QRYMj7M9aIU5E
6,No website | No reviews,"Constructora Prohace, S.A. de C.V.",Construction company," C. 10 de Mayo 128, Centro, 37000 León de los Aldama, Gto.",477 770 9550,+524777709550,True,https://wa.me/524777709550,open,,,False,,,constructora,Leon Mexico,2026-06-12,"https://www.google.com/maps/place/Constructora+Prohace,+S.A.+de+C.V./data=!4m7!3m6!1s0x842bbf9ededd5b13:0x804bee314c5b288b!8m2!3d21.1118077!4d-101.6871149!16s%2Fg%2F1tfddswp!19sChIJE1vd3p6_K4QRiyhbTDHuS4A"
6,No website | No reviews,Gota Edifica,Construction company," Av. Panorama 818, Valle del Campestre, 37160 León de los Aldama, Gto.",477 470 7115,+524774707115,True,https://wa.me/524774707115,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Gota+Edifica/data=!4m7!3m6!1s0x842bbf50195ee35b:0xef02244833f60dbb!8m2!3d21.1519601!4d-101.6958608!16s%2Fg%2F1tf0qylt!19sChIJW-NeGVC_K4QRuw32M0gkAu8
6,No website | No reviews,"Porther Constructora, S.A. de C.V.",Building firm," Blvrd Vicente Valtierra 6200, San Miguel de Renteria Nte, 37257 León de los Aldama, Gto.",477 780 0668,+524777800668,True,https://wa.me/524777800668,open,,,False,,,constructora,Leon Mexico,2026-06-12,"https://www.google.com/maps/place/Porther+Constructora,+S.A.+de+C.V./data=!4m7!3m6!1s0x842bbef3c7f15007:0xb54cdbcbf2f33c56!8m2!3d21.127344!4d-101.6426486!16s%2Fg%2F11f06nbfwg!19sChIJB1Dxx_O-K4QRVjzz8svbTLU"
6,No website | No reviews,Arqconte constructora,Home builder," C. Angela Peralta 109, León Moderno, 37480 León de los Aldama, Gto.",477 394 6739,+524773946739,True,https://wa.me/524773946739,open,,,False,,,constructora,Leon Mexico,2026-06-12,https://www.google.com/maps/place/Arqconte+constructora/data=!4m7!3m6!1s0x842bbf0b0db161cd:0x8d847ae4e62ab315!8m2!3d21.1117949!4d-101.6652044!16s%2Fg%2F11t7zrf462!19sChIJzWGxDQu_K4QRFbMq5uR6hI0
6,No website | No reviews,Brisas Inmobiliaria Y Construcciones,Home builder," C. 19 106-cruzamientos 20 y 22, México Nte., 97125 Mérida, Yuc.",999 944 6389,+529999446389,True,https://wa.me/529999446389,open,,,False,,,constructora,Merida Mexico,2026-06-12,https://www.google.com/maps/place/Brisas+Inmobiliaria+Y+Construcciones/data=!4m7!3m6!1s0x8f5676b40639dad7:0x686fad69eac43ad9!8m2!3d21.0031839!4d-89.6110286!16s%2Fg%2F1tj_68zf!19sChIJ19o5BrR2Vo8R2TrE6mmtb2g
6,No website | No reviews,Axissa Construcciones,Building firm," C. 25 Diag. 212, Jardines del Nte., 97139 Mérida, Yuc.",999 353 6765,+529993536765,True,https://wa.me/529993536765,open,,,False,,,constructora,Merida Mexico,2026-06-12,https://www.google.com/maps/place/Axissa+Construcciones/data=!4m7!3m6!1s0x8f5677baa5b37ec7:0x4b140133015d2e1!8m2!3d21.0182753!4d-89.5652176!16s%2Fg%2F11nfsggnxy!19sChIJx36zpbp3Vo8R4dIVMBNAsQQ
